"System","Unit Type","Unit Name","Unit Symbol","Prefix Scale","Prefix Exponents To Include","Base Unit System","Base Unit","Coefficient","Offset","Sort Index"
"Theoretical Physics","Force","planck-force","Fₚ",,,"SI","newton","1.2103E+44","0","0"
"Theoretical Physics","Duration","planck-time","tₚ",,,,"microsecond","5.391247E-38","0","0"
"Theoretical Physics","Length","planck-length","ℓₚ",,,"SI","meter","1.616255E-35","0","0"
"Theoretical Physics","Mass","planck-mass","mₚ",,,"SI","kilogram","2.176434E-8","0","0"
"Theoretical Physics","Momentum","planck-momentum","mₚc",,,"SI","newton-second","6.5249","0","0"
"Theoretical Physics","Temperature","planck-temperature","Tₚ",,,"SI","degrees kelvin","1.416784E+32","0","0"
"Theoretical Physics","Velocity","speed of light","c",,,"SI","meter per second","299_792_458","0","0"
"US Customary","Amount","count","ct.","Short Scale","Positive",,"count","1.0","0","0"
"US Customary","Amount","quantity","qty.","Short Scale","Positive",,"count","1.0","0","1"
"US Customary","Length","inch","in",,,"SI","centimeter","2.54","0","0"
"US Customary","Length","mil","mil",,,"US Customary","inch","1.0/1000.0","0","1"
"US Customary","Length","point","p",,,"US Customary","inch","1.0/72.0","0","2"
"US Customary","Length","twip","twip",,,"US Customary","point","1.0/20.0","0","3"
"US Customary","Length","pica","P",,,"US Customary","point","12.0","0","4"
"US Customary","Length","foot","ft",,,"US Customary","inch","12.0","0","5"
"US Customary","Length","yard","yd",,,"US Customary","foot","3.0","0","6"
"US Customary","Length","mile","mi",,,"US Customary","yard","1760.0","0","7"
"US Customary","Length","league","le",,,"US Customary","mile","3.0","0","8"
"US Customary","Length","fathom","ftm",,,"US Customary","yard","2.0","0","9"
"US Customary","Length","cable","cb",,,"US Customary","fathom","120.0","0","10"
"US Customary","Length","nautical mile","nmi",,,"SI","meter","1852.0","0","11"
"US Customary","Mass","grain","gr",,,"SI","milligram","64.79891","0","1"
"US Customary","Mass","dram","dr",,,"US Customary","grain","27.34375","0","2"
"US Customary","Mass","ounce","oz",,,"US Customary","dram","16.0","0","3"
"US Customary","Mass","pound","lb",,,"US Customary","ounce","16.0","0","4"
"US Customary","Mass","hundredweight","cwt",,,"US Customary","pound","100.0","0","5"
"US Customary","Mass","long hundredweight","long cwt",,,"US Customary","pound","112.0","0","6"
"US Customary","Mass","short ton","short ton",,,"US Customary","hundredweight","20.0","0","7"
"US Customary","Mass","ton","t",,,"US Customary","short ton","1","0","8"
"US Customary","Mass","long ton","long ton",,,"US Customary","long hundredweight","20.0","0","9"
"US Customary","Temperature","degrees fahrenheit","°F",,,"SI","degrees celcius","5.0/9.0","-32.0","2"
"US Customary","Force","pound-force","lbf",,,"SI","newton","4.448222","0","1"
"US Customary","Pressure","pounds per square inch","psi",,,"SI","kilopascal","6.894757","0","1"
"US Customary","Pressure","standard atmosphere","atm",,,"SI","pascal",101325,"0","2"
"US Customary","Pressure","bar","bar","SI","All","US Customary","standard atmosphere","0.986923","0","3"
"US Customary","Pressure","torr","Torr","SI","All","US Customary","standard atmosphere","1.0/760.0","0","4"
"US Survey","Length","link","li",,,"SI","meter","0.20116","0","0"
"US Survey","Length","rod","rd",,,"SI","meter","5.0292","0","1"
"US Survey","Length","chain","ch",,,"SI","meter","20.1168","0","2"
"US Survey","Length","furlong","fur",,,"SI","meter","201.168","0","3"
"US Survey","Length","league","lea",,,"SI","meter","4828.032","0","4"
,"Angle","radian","rad",,,,"radian","1.0","0","0"
,"Angle","degree","°",,,,"radian","(180.0/Math.PI)","0","1"
,"Angle","arc minute","′",,,,"degree","1.0/60.0","0","2"
,"Angle","arc second","″",,,,"arc minute","1.0/60.0","0","3"
,"Angle","gradian","ᵍ",,,,"radian","(Math.PI/200.0)","0","4"
,"Amount","count","ct.",,,,"count","1.0","0","0"
,"Amount","quantity","qty.",,,,"count","1.0","0","1"
,"Duration","second","s","SI","Negative",,"second","1.0","0","0"
,"Duration","minute","min",,,,"second","60.0","0","1"
,"Duration","hour","hr",,,,"minute","60.0","0","2"
,"Duration","day","dy",,,,"hour","24.0","0","3"
,"Duration","week","wk",,,,"day","7.0","0","4"
,"Duration","year","yr",,,,"day","365.2525","0","5"
,"Duration","decade","decade",,,,"year","10.0","0","6"
,"Duration","century","century",,,,"decade","10.0","0","7"
,"Duration","millennium","kyr",,,,"century","10.0","0","8"
,"Duration","million years","Myr",,,,"millennium","1000.0","0","9"
,"Duration","billion years","Gyr",,,,"million years","1000.0","0","10"
,"Duration","trillion years","Tyr",,,,"billion years","1000.0","0","11"
,"Duration","quadrillion years","Pyr",,,,"trillion years","1000.0","0","12"
,"Duration","quintillion years","Eyr",,,,"quadrillion years","1000.0","0","13"
,"Duration","sextillion years","Zyr",,,,"quintillion years","1000.0","0","14"
,"Duration","septillion years","Yyr",,,,"sextillion years","1000.0","0","15"
,"Duration","octillion years","Ryr",,,,"septillion years","1000.0","0","16"
,"Duration","nonillion years","Qyr",,,,"octillion years","1000.0","0","17"
,"Duration","decillion years","decillion yr",,,,"nonillion years","1000.0","0","18"
,"Duration","tick","tick",,,,"nanosecond","100.0","0","20"
,"Temperature","degrees rankine","°R",,,"SI","degrees kelvin","5.0/9.0","0","1"
,"Temperature","degrees delisle","°De",,,"SI","degrees celcius","-2.0/3.0","-150","2"
,"Temperature","degrees newton","°N",,,"SI","degrees celcius","100.0/33.0","0","3"
,"Temperature","degrees réaumur","°Ré",,,"SI","degrees celcius","5.0/4.0","0","4"
,"Temperature","degrees rømer","°Rø",,,"SI","degrees celcius","40.0/21.0","-7.5","5"
"CGS","Force","dyne","dyn","SI","All","SI","newton","1.0/100000.0","0","0"
"CGS","Acceleration","gal","Gal","SI","All","SI","centimeter per square second","1.0","0","0"
"CGS","Energy","erg","erg","SI","All","SI","joule","1.0E-7","0","0"
"CGS","Power","erg per second","erg/s","SI","All","SI","watt","1.0E-7","0","0"
"CGS","Pressure","barye","Ba","SI","All","SI","pascal","1.0/10.0","0","0"
"CGS","Energy","erg","erg","SI","All","SI","joule","1.0E-7","0","0"
